id,www,nip,czy sklep internetowy,
440,www.panaceum.halemba.pl,6412497556,nie,
441,www.add-polska.pl,7010229392,nie,
443,www.energopuls.pl,6161544820,nie,
445,www.spectec.pl,9571034066,nie,
446,www.reminstal.pl,6312581659,nie,
447,www.egsystem.pl,5213552105,nie,
448,www.jdbsa.pl,5732777110,nie,
461,www.reelocon.pl,7282747273,nie,
466,www.biuroata.pl,6292433529,nie,
475,www.katmark.it,5291776304,nie,
484,www.bikersworld.pl,5842690812,nie,
493,www.interglobus.pl,8561678548,nie,
498,www.alcaplast.pl,9372618244,nie,
509,www.dongeiovanni.pl,7851765172,nie,
526,www.arsand.pl,6391408411,nie,
528,www.logius.pl,9281941695,nie,
533,www.schody-laskowski.pl,7962234466,nie,
536,www.piotrraczkowski.pl,9121774076,nie,
537,www.fotokorporacja.pl,6252237609,nie,
539,www.estiloprojekty.pl,7322090567,nie,
549,www.enesys.pl,6391155387,nie,
565,www.7rswebstudio.pl,7521033402,nie,
574,www.skladsznurowadel.blox.pl,6761516967,nie,
595,www.skalo.pl,6112627718,nie,
596,www.metal-profil.pl,7541913299,nie,
620,www.kozeraautoszkola.pl,7391709834,nie,
625,www.parking.auto.pl,6451576320,nie,
628,www.matimedia.pl,6941620525,nie,
691,www.deploy.pl,6443429082,nie,
716,www.asprofit.co,5291750552,nie,
730,www.anglozof.pl,8392833821,nie,
747,www.dogfield.pl,6921042858,nie,
769,www.simpleav.pl,9481825551,nie,
781,www.etude.pl,7532248081,nie,
790,www.instalacje-wroclaw.pl,8992524637,nie,
792,www.matisport.pl,7281290446,nie,
795,www.anteczek.pl,7361607968,nie,
799,www.sklep6sisinvert.pl,6621678291,tak,
836,www.ski.karpacz.pl,6111205949,nie,
857,www.adwaugustyn.jky.pl,5971075227,nie,
952,www.jomisilv.pl,6772207537,tak,
961,www.ketz.pl,6792881308,nie,
987,www.qdental.net.pl,8991658175,nie,
1111,www.puaczstomatologia.pl,7811787517,nie,
1167,www.pratero.pl,7742666152,nie,
1173,www.bezproblemu.com,7281774055,nie,
1181,www.si-bartoszyce.com.pl,7431228088,nie,
1235,www.rehabilitacja-warszawa.com.pl,5213331025,nie,
1240,www.geodezjagryfow.pl,6131408153,nie,
1253,www.jadorna.com,7811826306,nie,
1258,www.knbiuro.pl,6462160310,nie,
1260,www.panoramaszczyrk.pl,9511288797,nie,
1264,www.slonecznik.com,8222198627,nie,
1274,www.radjacmar.prv.pl,7393350107,nie,
1292,www.razoo.pl,5782467009,nie,
1328,www.merit.pl,5242506616,nie,
1371,www.ewolucja.pl,5251541109,nie,
1456,www.pieciolinia.eprzedszkola.pl,9512143635,nie,
1490,www.infans.pl,6641494111,nie,
1510,www.humandirect.pl,7162662321,nie,
1511,www.qbikdesign.com.pl,9521962485,nie,
1512,www.smartbrains.pl,9511523057,nie,
1514,www.kmpankiewicz.pl,5251582947,nie,
1517,www.exploter.pl,9511993403,nie,
1590,www.laserkam.pl,5241268818,nie,
1596,www.podnosniki-koszowe.pl,9522074947,nie,
1635,www.wyrobyhutnicze-wema.pl,6191795521,nie,
1647,www.mltransport.pl,8982083083,nie,
1650,www.agmipol.pl,8992589708,nie,
1661,www.klosbhp.eu,8981997036,nie,
1672,www.chrust.eu,6681362717,nie,
1674,www.lcemajewski.pl,9221765384,nie,
1687,www.qube.info.pl,7712664467,nie,
1697,www.fabian.mnc.pl,7321505084,nie,
1702,www.atelieremerald.com,7251131192,nie,
1739,www.komplus.it,9720541697,nie,
1749,www.sidma.pl,7811035680,nie,
1758,www.art-bonsai.pl,8541726764,nie,
1762,www.rositell.pl,7791033197,nie,
1766,www.studiocichy.pl,7822303954,nie,
1814,www.nieruchomosci-mw.com.pl,5532438308,nie,
1864,www.vivz.pl/ubezpieczenia-bierun,2220556947,nie,
1881,www.b-good.at,5482437949,nie,
1894,www.icesolve.com,6472338672,nie,
1912,www.wokopack.pl,5321876224,nie,
1917,www.problysk.pl,9181966112,nie,
1919,www.klimafix.pl,9591235098,nie,
1933,www.tomaszny.pl,6471071422,nie,
1937,www.presente.pl,9730844436,nie,
1944,www.ksiegarniakonin.pl,6651662219,nie,
1949,www.lewiatan.pl,5991485773,nie,
1979,www.sitatechniczne.pl,6561915326,nie,
1988,www.schwalbe.net.pl,6741196910,nie,
1991,www.irisjaslo.pl,6852167165,nie,
2009,www.szukaj-rozwiazan.pl,7421030025,nie,
2073,www.id2it.pl,5811789047,nie,
2083,www.carpatusteam.pl,8431574974,nie,
2086,www.rbud-rumia.pl,9580595485,nie,
2088,www.electrotech.pl,9580065764,nie,
2091,www.verso-plytki.pl,5921965924,nie,
2132,www.adwokatgrzywacz.pl,6371953619,nie,
2134,www.muzyczka.info.pl,7921945762,nie,
2137,www.gilewicz.info,7121546859,nie,
2143,www.sikora-kancelaria.pl,6381345956,nie,
2163,www.biuro-prestiz.com,8531238661,nie,
2166,www.michalskakuj.com,5841312628,nie,
2180,www.taxserviceprzemysl.pl,7951848526,nie,
2195,www.gamawroclaw.com.pl,6921990822,nie,
2208,www.auto-szkola.net,7451013669,nie,
2233,www.centrumwellness.net,7952101597,nie,
2234,www.biurokolodziej.pl,7951842340,nie,
2236,www.fabryka.rybnik.pl,6342485624,nie,
2246,www.actenia.pl,5561403459,nie,
2249,www.hainet.pl,5992807960,nie,
2256,www.ener-dom.pl,7780164760,nie,
2260,www.saunap.com.pl,7791995045,nie,
2261,www.polconfex.com.pl,7792060799,nie,
2264,www.grind.com.pl,7811643184,nie,
2270,www.betteroffice.pl,7831559759,nie,
2273,www.reha-fit.pl,9661484689,nie,
2276,www.alpinjet.pl,9720958523,nie,
2278,www.onkologiagdynia.pl,5851017049,nie,
2283,www.artofmove.pl,6671647275,nie,
2286,www.mexicanawagrowiec.za.pl,7661599635,nie,
2298,www.artofmove.pl,8471398650,nie,
2305,www.art-dent.info,8212290610,nie,
2311,www.mieczkowski.wroclaw.pl,9121183406,nie,
2336,www.sklep.procosmetics.pl,6912340898,tak,
2339,www.plan-projekt.biz,8941675177,nie,
2346,www.znanyszklarz.pl,8942928315,nie,
2366,www.kancelaria-zielinski.pl,9570827362,nie,
2368,www.prokam.com.pl,7271639367,nie,
2370,www.bangbangdesign.pl,9570897776,nie,
2372,www.elektro-volt.prv.pl,7271094904,nie,
2373,www.jumper.biz.pl,7281125492,nie,
2388,www.metal-hurt.pl,7290117894,nie,
2392,www.kawalgdansk.pl,5831862770,nie,
2418,www.automatykaserwis.com,9532475240,nie,
2421,www.rk-biuro.pl,5541071675,nie,
2455,www.promes.com.pl,9671128157,nie,
2459,www.ravart.pl,9532411843,nie,
2474,www.pracowniaslubna.net,8661593567,nie,
2477,www.biobyte.pl,6312431144,nie,
2479,www.abcgsm.pl,6441031228,nie,
2496,www.centrumeeg.pl,5732535269,nie,
2500,www.najlepszekarmy.pl,6442897295,tak,
2501,www.tachotax.olsztyn.pl,7391855470,nie,
2504,www.gardom.republika.pl,9591412407,nie,
2523,www.mbconsulting.pl,9581226620,nie,
2544,www.malvinox.com,6262667820,nie,
2558,www.ewan.czest.pl,5732183089,nie,
2561,www.tajm.cze.pl,5730101905,nie,
2566,www.miza-reh.home.pl,9491813271,nie,
2568,www.kwiaciarniachiko.za.pl,7741233505,nie,
2586,www.optykoko.com,8792100602,nie,
2595,www.amicustravel.pl,8781405640,nie,
2610,www.stermag.pl,8821954087,nie,
2618,www.geservices.pl,9880006582,nie,
2624,www.keten.com.pl,8992545220,nie,
2625,www.travelcreation.pl,8862613242,nie,
2636,www.sigmali.pl,8951725238,nie,
2643,www.increated.com,8942761157,nie,
2645,www.zui-intech.pl,9730071980,nie,
2664,www.acentoespanol.pl,7010061596,nie,
2684,www.geopalbud.pl,8133283774,nie,
2694,www.dermestetic.pl,9181305675,nie,
2700,www.salwador.szczecin.pl,8521651980,nie,
2726,www.certyfikat-energetyczny.org.pl,8511037698,nie,
2739,www.koordynator-uslugi.pl,5441094613,nie,
2744,www.gelender.pl,5471572483,nie,
2755,www.mitryk.com.pl,9372116583,nie,
2756,www.mitryk.com.pl,9371740581,nie,
2760,www.koma.bls.pl,5472018783,nie,
2761,www.hewiterm.com.pl,5471921268,nie,
2773,www.aplast.radom.pl,7961025453,nie,
2793,www.bhpserwis.com,6412299833,nie,
2796,www.phu-daki.eu,6412419898,nie,
2797,www.przeciwzalaniu.pl,6412360751,nie,
2819,www.tipsydojazd.pl,6472476049,nie,
2835,www.kwiaciarnia-bytom.pl,6261951140,nie,
2842,www.cantech.pl,8531445207,nie,
2881,www.madafit.pl,8882711700,nie,
2891,www.marzedekoracje.pl,9680003372,nie,
2915,www.jolmal.vgh.pl,7342447475,nie,
2917,www.drukiszkolne.pl,7342736067,tak,
2918,www.matematyka-max.pl,7342686412,nie,
2920,www.kalina-art.pl,7341070034,nie,
2928,www.jacekligocki.pl,6111112716,nie,
2929,www.sentient.pl,6112141542,nie,
2967,www.kamanet.pl,5992419063,nie,
2975,www.techbud-handel.pl,7642393418,nie,
2993,www.ibtransport.pl,6221231333,nie,
3014,www.kkwadrat.com,9222418561,nie,
3039,www.psychiatra.mielec.pl,8171930454,nie,
3047,www.zniszczol.eu,6511431595,nie,
3058,www.tniemyraty.pl,8841273485,nie,
3062,www.nieruchomosci-dominium.pl,5932311907,nie,
3104,www.amberclub.pl,5931236500,nie,
3119,www.kubusiowyswiat.pl,9542335084,nie,
3129,www.eko-era.eu,6842520826,nie,
3130,www.swiatpaneli.net.pl,6291608760,nie,
3136,www.kristal-balustrady.pl,6671174279,nie,
3149,www.houseoutlet.pl,5321427934,nie,

